# Kx Ky E
0 4 -1.9819715833597
0 4 -1.9452618579351
0 4 -1.9452618579351
0 4 -1.9433431499182
0 4 -1.9377012728556
0 4 -1.9377012728556
0 4 -1.9334506237556
0 4 -1.93196491307
0 4 -1.9319649130699
0 4 -1.9305045618166
0 4 -1.9305045618166
0 4 -1.9260232418053
0 4 -1.9139882125652
0 4 -1.9139882125652
0 4 -1.9118366167838
0 4 -1.9092021912043
0 4 -1.9092021912043
0 4 -1.90206153317
0 4 -1.9019313298608
0 4 -1.9014613678444
0 4 -1.8980794390515
0 4 -1.8943304102898
0 4 -1.8940335488563
0 4 -1.8925025379254
0 4 -1.8919672459193
0 4 -1.8898063544569
0 4 -1.8874413790295
0 4 -1.8874355311192
0 4 -1.8868591224457
0 4 -1.8856041974515
