# Ky E
0 -1.1931505219907
1 -1.1707702856917
2 -1.1689174657697
3 -1.1707702856915
4 -1.1679772494538
5 -1.1679772494539
6 -1.1707702856916
7 -1.1689174657698
8 -1.1707702856916
9 -1.1931505219905
10 -1.1707702856916
11 -1.1689174657696
12 -1.1707702856916
13 -1.1679772494539
14 -1.1679772494539
15 -1.1707702856916
16 -1.1689174657697
17 -1.1707702856915
18 -1.1931505219906
19 -1.1707702856915
20 -1.1689174657697
21 -1.1707702856916
22 -1.1679772494538
23 -1.1679772494539
24 -1.1707702856915
25 -1.1689174657697
26 -1.1707702856917
