# Kx Ky E
0 3 -1.3394987202005
0 3 -1.3073074398971
0 3 -1.3073074398971
0 3 -1.2846591025077
0 3 -1.2846591025077
0 3 -1.280063471691
0 3 -1.2787263436711
0 3 -1.2787263436711
0 3 -1.272990335025
0 3 -1.272990335025
0 3 -1.2592633392391
0 3 -1.2539561523995
0 3 -1.2529104930291
0 3 -1.2529056601601
0 3 -1.2528567060439
0 3 -1.2519267517316
0 3 -1.2386679121785
0 3 -1.2298221683792
0 3 -1.2279706875893
0 3 -1.2190062489757
0 3 -1.2171258837634
0 3 -1.2143011710677
0 3 -1.2071877669897
0 3 -1.2025438839856
0 3 -1.1970387791178
0 3 -1.1938526601355
0 3 -1.1882404579506
0 3 -1.1875836879196
0 3 -1.1860094903045
0 3 -1.1848651877936
